timestamp,severity,rule,pid,process_name,path,action,message
2025-12-17T14:21:55.142683,INFO,ML_ANOMALY,3484,comet.exe,,Whitelisted,ML behavioral anomaly (z=3.71)
2025-12-17T14:21:55.480952,WARNING,ML_ANOMALY,4492,vmnetdhcp.exe,,Score +10 (total 10),ML behavioral anomaly (z=5.39)
2025-12-17T14:21:55.527516,WARNING,ML_ANOMALY,4528,vmnat.exe,,Score +10 (total 30),ML behavioral anomaly (z=5.39)
2025-12-17T14:21:55.683004,WARNING,ML_ANOMALY,4848,msedgewebview2.exe,,Score +10 (total 20),ML behavioral anomaly (z=4.08)
2025-12-17T14:21:55.997057,INFO,ML_ANOMALY,10680,Code.exe,,Whitelisted,ML behavioral anomaly (z=3.61)
2025-12-17T14:21:56.064524,INFO,ML_ANOMALY,12156,comet.exe,,Whitelisted,ML behavioral anomaly (z=3.74)
2025-12-17T14:21:56.105081,WARNING,ML_ANOMALY,13292,msedgewebview2.exe,,Score +10 (total 20),ML behavioral anomaly (z=4.08)
2025-12-17T14:21:56.169146,INFO,ML_ANOMALY,13736,comet.exe,,Whitelisted,ML behavioral anomaly (z=3.74)
2025-12-17T14:21:56.217523,INFO,ML_ANOMALY,16080,comet.exe,,Whitelisted,ML behavioral anomaly (z=3.74)
2025-12-17T14:21:56.244711,INFO,ML_ANOMALY,18112,comet.exe,,Whitelisted,ML behavioral anomaly (z=3.74)
2025-12-17T14:21:56.293460,INFO,ML_ANOMALY,18400,comet.exe,,Whitelisted,ML behavioral anomaly (z=3.74)
2025-12-17T14:21:56.294216,INFO,ML_ANOMALY,19288,conhost.exe,,Whitelisted,ML behavioral anomaly (z=5.39)
2025-12-17T14:21:57.504891,WARNING,ML_ANOMALY,1448,msedgewebview2.exe,,Score +10 (total 20),ML behavioral anomaly (z=3.87)
2025-12-17T14:21:57.661279,WARNING,ML_ANOMALY,2200,msedgewebview2.exe,,Score +10 (total 20),ML behavioral anomaly (z=4.08)
2025-12-17T14:21:57.817771,WARNING,ML_ANOMALY,2980,msedgewebview2.exe,,Score +10 (total 20),ML behavioral anomaly (z=3.87)
2025-12-17T14:21:57.937144,WARNING,ML_ANOMALY,3740,msedgewebview2.exe,,Score +10 (total 20),ML behavioral anomaly (z=3.87)
2025-12-17T14:21:58.239888,WARNING,ML_ANOMALY,4492,vmnetdhcp.exe,,Score +10 (total 20),ML behavioral anomaly (z=5.22)
2025-12-17T14:21:58.292728,WARNING,ML_ANOMALY,4528,vmnat.exe,,Score +10 (total 40),ML behavioral anomaly (z=5.22)
2025-12-17T14:21:58.701662,WARNING,ML_ANOMALY,11520,WhatsApp.Root.exe,,Score +10 (total 30),ML behavioral anomaly (z=3.74)
2025-12-17T14:21:58.881278,WARNING,ML_ANOMALY,16288,msedgewebview2.exe,,Score +10 (total 20),ML behavioral anomaly (z=4.08)
2025-12-17T14:22:00.223148,INFO,ML_ANOMALY,1996,msedge.exe,,Whitelisted,ML behavioral anomaly (z=3.93)
2025-12-17T14:22:00.422382,INFO,ML_ANOMALY,2660,svchost.exe,,Whitelisted,ML behavioral anomaly (z=5.39)
2025-12-17T14:22:00.542086,INFO,ML_ANOMALY,3336,svchost.exe,,Whitelisted,ML behavioral anomaly (z=5.39)
2025-12-17T14:22:00.882550,WARNING,ML_ANOMALY,4492,vmnetdhcp.exe,,Score +10 (total 30),ML behavioral anomaly (z=4.62)
2025-12-17T14:22:00.920164,WARNING,ML_ANOMALY,4528,vmnat.exe,,Score +10 (total 50),ML behavioral anomaly (z=4.62)
2025-12-17T14:22:02.828417,WARNING,ML_ANOMALY,148,Registry,,Score +10 (total 30),ML behavioral anomaly (z=4.07)
2025-12-17T14:22:03.545188,WARNING,ML_ANOMALY,4492,vmnetdhcp.exe,,Score +10 (total 40),ML behavioral anomaly (z=4.15)
2025-12-17T14:22:03.630973,WARNING,ML_ANOMALY,4528,vmnat.exe,,Score +10 (total 60),ML behavioral anomaly (z=4.15)
2025-12-17T14:22:06.039441,WARNING,ML_ANOMALY,4492,vmnetdhcp.exe,,Score +10 (total 50),ML behavioral anomaly (z=3.61)
2025-12-17T14:22:06.663678,WARNING,ML_ANOMALY,4528,vmnat.exe,,Score +10 (total 70),ML behavioral anomaly (z=3.78)
2025-12-17T14:22:08.208761,INFO,ML_ANOMALY,1996,msedge.exe,,Whitelisted,ML behavioral anomaly (z=3.76)
2025-12-17T14:22:09.246402,WARNING,ML_ANOMALY,19688,wlanext.exe,,Score +10 (total 10),ML behavioral anomaly (z=5.39)
2025-12-17T14:22:11.126598,WARNING,ML_ANOMALY,4528,vmnat.exe,,Score +10 (total 80),ML behavioral anomaly (z=5.39)
2025-12-17T14:22:11.302726,WARNING,ML_ANOMALY,4848,msedgewebview2.exe,,Score +10 (total 30),ML behavioral anomaly (z=5.39)
2025-12-17T14:22:11.749005,WARNING,ML_ANOMALY,19688,wlanext.exe,,Score +10 (total 20),ML behavioral anomaly (z=3.74)
2025-12-17T14:22:13.314159,INFO,ML_ANOMALY,2412,Code.exe,,Whitelisted,ML behavioral anomaly (z=4.54)
2025-12-17T14:22:14.192404,INFO,ML_ANOMALY,8244,Code.exe,,Whitelisted,ML behavioral anomaly (z=4.81)
2025-12-17T14:22:14.209868,INFO,ML_ANOMALY,8544,Code.exe,,Whitelisted,ML behavioral anomaly (z=4.40)
2025-12-17T14:22:20.790534,INFO,ML_ANOMALY,2360,firefox.exe,,Whitelisted,ML behavioral anomaly (z=5.39)
2025-12-17T14:22:21.429439,INFO,ML_ANOMALY,9848,firefox.exe,,Whitelisted,ML behavioral anomaly (z=5.39)
2025-12-17T14:22:21.508662,INFO,ML_ANOMALY,13728,firefox.exe,,Whitelisted,ML behavioral anomaly (z=5.39)
2025-12-17T14:22:21.513815,INFO,ML_ANOMALY,14244,firefox.exe,,Whitelisted,ML behavioral anomaly (z=5.39)
2025-12-17T14:22:21.555547,INFO,ML_ANOMALY,16400,firefox.exe,,Whitelisted,ML behavioral anomaly (z=4.94)
2025-12-17T14:22:21.555996,INFO,ML_ANOMALY,16692,firefox.exe,,Whitelisted,ML behavioral anomaly (z=4.93)
2025-12-17T14:22:21.579622,INFO,ML_ANOMALY,18724,firefox.exe,,Whitelisted,ML behavioral anomaly (z=5.39)
2025-12-17T14:22:21.580122,INFO,ML_ANOMALY,19316,firefox.exe,,Whitelisted,ML behavioral anomaly (z=5.39)
2025-12-17T14:22:21.600488,INFO,ML_ANOMALY,20216,firefox.exe,,Whitelisted,ML behavioral anomaly (z=5.39)
2025-12-17T14:22:22.888328,INFO,ML_ANOMALY,2360,firefox.exe,,Whitelisted,ML behavioral anomaly (z=4.27)
2025-12-17T14:22:23.576520,INFO,ML_ANOMALY,9848,firefox.exe,,Whitelisted,ML behavioral anomaly (z=4.28)
2025-12-17T14:22:23.810364,INFO,ML_ANOMALY,13728,firefox.exe,,Whitelisted,ML behavioral anomaly (z=4.27)
2025-12-17T14:22:23.942060,INFO,ML_ANOMALY,19316,firefox.exe,,Whitelisted,ML behavioral anomaly (z=4.27)
2025-12-17T14:22:26.271370,INFO,ML_ANOMALY,7432,firefox.exe,,Whitelisted,ML behavioral anomaly (z=4.37)
2025-12-17T14:22:26.463959,INFO,ML_ANOMALY,10724,firefox.exe,,Whitelisted,ML behavioral anomaly (z=5.01)
2025-12-17T14:22:26.835286,WARNING,ML_ANOMALY,13788,audiodg.exe,,Score +10 (total 20),ML behavioral anomaly (z=4.89)
2025-12-17T14:22:26.852504,INFO,ML_ANOMALY,14880,svchost.exe,,Whitelisted,ML behavioral anomaly (z=5.37)
2025-12-17T14:22:36.317192,INFO,APP_STARTUP,,,,,Ransomware Defense Kit started
2025-12-17T14:24:10.903473,INFO,APP_STARTUP,,,,,Ransomware Defense Kit started
2025-12-17T14:24:46.332419,WARNING,ML_ANOMALY,11860,M365Copilot.exe,,Score +10 (total 10),ML behavioral anomaly (z=3.60)
2025-12-17T14:24:48.317960,WARNING,ML_ANOMALY,9324,ctfmon.exe,,Score +10 (total 10),ML behavioral anomaly (z=3.74)
2025-12-17T14:24:49.774537,INFO,ML_ANOMALY,1132,svchost.exe,,Whitelisted,ML behavioral anomaly (z=3.87)
2025-12-17T14:24:53.116297,WARNING,ML_ANOMALY,17024,sihost.exe,,Score +10 (total 10),ML behavioral anomaly (z=4.00)
2025-12-17T14:24:53.224468,WARNING,ML_ANOMALY,20564,SearchFilterHost.exe,,Score +10 (total 10),ML behavioral anomaly (z=4.00)
2025-12-17T14:24:53.266899,INFO,ML_ANOMALY,21464,SearchProtocolHost.exe,,Whitelisted,ML behavioral anomaly (z=4.00)
2025-12-17T14:24:55.339296,WARNING,ML_ANOMALY,10332,ShellExperienceHost.exe,,Score +10 (total 10),ML behavioral anomaly (z=4.12)
2025-12-17T14:24:55.720528,WARNING,ML_ANOMALY,15224,csrss.exe,,Score +10 (total 10),ML behavioral anomaly (z=3.51)
2025-12-17T14:25:00.365522,WARNING,ML_ANOMALY,15224,csrss.exe,,Score +10 (total 20),ML behavioral anomaly (z=4.17)
2025-12-17T14:25:02.447063,WARNING,ML_ANOMALY,9324,ctfmon.exe,,Score +10 (total 20),ML behavioral anomaly (z=4.17)
2025-12-17T14:25:03.024579,INFO,ML_ANOMALY,20964,comet.exe,,Whitelisted,ML behavioral anomaly (z=4.16)
2025-12-17T14:25:08.004838,INFO,ML_ANOMALY,10876,svchost.exe,,Whitelisted,ML behavioral anomaly (z=4.18)
2025-12-17T14:25:10.140002,WARNING,ML_ANOMALY,6764,WmiPrvSE.exe,,Score +10 (total 10),ML behavioral anomaly (z=4.80)
2025-12-17T14:25:24.248087,WARNING,ML_ANOMALY,9324,ctfmon.exe,,Score +10 (total 30),ML behavioral anomaly (z=4.62)
2025-12-17T14:25:26.176614,INFO,ML_ANOMALY,2384,svchost.exe,,Whitelisted,ML behavioral anomaly (z=5.39)
2025-12-17T14:25:26.992669,WARNING,ML_ANOMALY,6796,crashhelper.exe,,Score +10 (total 10),ML behavioral anomaly (z=5.39)
2025-12-17T14:25:27.024950,INFO,ML_ANOMALY,7432,firefox.exe,,Whitelisted,ML behavioral anomaly (z=5.34)
2025-12-17T14:25:27.155774,INFO,ML_ANOMALY,10596,firefox.exe,,Whitelisted,ML behavioral anomaly (z=5.32)
2025-12-17T14:25:27.203775,WARNING,ML_ANOMALY,11860,M365Copilot.exe,,Score +10 (total 20),ML behavioral anomaly (z=4.10)
2025-12-17T14:25:27.407634,INFO,ML_ANOMALY,14888,firefox.exe,,Whitelisted,ML behavioral anomaly (z=5.16)
2025-12-17T14:25:27.541375,INFO,ML_ANOMALY,20216,firefox.exe,,Whitelisted,ML behavioral anomaly (z=5.39)
2025-12-17T14:25:28.682590,WARNING,ML_ANOMALY,4,System,,Score +10 (total 10),ML behavioral anomaly (z=4.87)
2025-12-17T14:25:30.318474,INFO,ML_ANOMALY,20216,firefox.exe,,Whitelisted,ML behavioral anomaly (z=3.66)
2025-12-17T14:25:31.762991,INFO,ML_ANOMALY,1132,svchost.exe,,Whitelisted,ML behavioral anomaly (z=4.38)
2025-12-17T14:25:32.637353,INFO,ML_ANOMALY,7432,firefox.exe,,Whitelisted,ML behavioral anomaly (z=4.14)
2025-12-17T14:25:33.992775,INFO,ML_ANOMALY,1036,svchost.exe,,Whitelisted,ML behavioral anomaly (z=5.39)
2025-12-17T14:25:34.180973,INFO,ML_ANOMALY,2888,svchost.exe,,Whitelisted,ML behavioral anomaly (z=4.75)
2025-12-17T14:25:34.278953,INFO,ML_ANOMALY,4288,svchost.exe,,Whitelisted,ML behavioral anomaly (z=4.66)
2025-12-17T14:25:34.506890,WARNING,ML_ANOMALY,4784,MsMpEng.exe,,Score +10 (total 10),ML behavioral anomaly (z=4.23)
2025-12-17T14:25:34.883702,WARNING,ML_ANOMALY,13788,audiodg.exe,,Score +10 (total 10),ML behavioral anomaly (z=4.23)
2025-12-17T14:25:34.927134,INFO,ML_ANOMALY,14880,svchost.exe,,Whitelisted,ML behavioral anomaly (z=4.29)
2025-12-17T14:25:34.995921,WARNING,ML_ANOMALY,17024,sihost.exe,,Score +10 (total 20),ML behavioral anomaly (z=3.51)
2025-12-17T14:25:35.091859,WARNING,ML_ANOMALY,20564,SearchFilterHost.exe,,Score +10 (total 20),ML behavioral anomaly (z=5.37)
2025-12-17T14:25:36.637912,INFO,ML_ANOMALY,2984,msedge.exe,,Whitelisted,ML behavioral anomaly (z=3.72)
2025-12-17T14:25:37.447287,INFO,ML_ANOMALY,9388,msedge.exe,,Whitelisted,ML behavioral anomaly (z=3.87)
2025-12-17T14:25:37.503723,INFO,ML_ANOMALY,9988,powershell.exe,,Whitelisted,ML behavioral anomaly (z=5.39)
2025-12-17T14:25:37.548904,WARNING,ML_ANOMALY,10332,ShellExperienceHost.exe,,Score +10 (total 20),ML behavioral anomaly (z=3.76)
2025-12-17T14:25:37.593355,INFO,ML_ANOMALY,10992,msedge.exe,,Whitelisted,ML behavioral anomaly (z=3.87)
2025-12-17T14:25:37.652665,INFO,ML_ANOMALY,13168,msedge.exe,,Whitelisted,ML behavioral anomaly (z=3.87)
2025-12-17T14:25:37.669388,INFO,ML_ANOMALY,13560,msedge.exe,,Whitelisted,ML behavioral anomaly (z=3.87)
2025-12-17T14:25:37.848200,INFO,ML_ANOMALY,18900,Code.exe,,Whitelisted,ML behavioral anomaly (z=5.39)
2025-12-17T14:25:40.253641,INFO,ML_ANOMALY,8720,explorer.exe,,Whitelisted,ML behavioral anomaly (z=4.16)
2025-12-17T14:25:40.381823,INFO,ML_ANOMALY,14880,svchost.exe,,Whitelisted,ML behavioral anomaly (z=4.77)
2025-12-17T14:25:41.994038,INFO,ML_ANOMALY,3484,comet.exe,,Whitelisted,ML behavioral anomaly (z=5.38)
2025-12-17T14:25:42.420031,INFO,ML_ANOMALY,8244,Code.exe,,Whitelisted,ML behavioral anomaly (z=4.14)
2025-12-17T14:25:42.420838,WARNING,ML_ANOMALY,8668,msedgewebview2.exe,,Score +10 (total 10),ML behavioral anomaly (z=5.39)
2025-12-17T14:25:45.456617,WARNING,ML_ANOMALY,16564,RuntimeBroker.exe,,Score +10 (total 10),ML behavioral anomaly (z=4.56)
2025-12-17T14:25:46.658604,WARNING,ML_ANOMALY,544,lsass.exe,,Score +10 (total 10),ML behavioral anomaly (z=5.39)
2025-12-17T14:25:47.293552,INFO,ML_ANOMALY,2972,Code.exe,,Whitelisted,ML behavioral anomaly (z=5.33)
2025-12-17T14:25:51.309936,INFO,ML_ANOMALY,2888,svchost.exe,,Whitelisted,ML behavioral anomaly (z=4.88)
